row_index,integrity_key,climate_profile_group,outer_fold
200,1179,38,5
201,118,38,5
202,1180,38,5
203,1181,38,5
204,1182,38,5
205,1183.1,38,5
206,1183.2,38,5
207,1184,38,5
208,1185,38,5
209,1186,38,5
210,1187,38,5
211,1188,38,5
212,1189,38,5
213,1190,38,5
214,1191,38,5
215,1192,38,5
216,1194.1,38,5
217,1194.2,38,5
218,1195,38,5
219,1196,38,5
220,1197,38,5
221,1199,38,5
222,12,38,5
223,120,38,5
224,1200,38,5
225,1201,38,5
226,1202,38,5
227,1203,38,5
228,1204,38,5
229,1205,38,5
230,1206,38,5
231,1207,38,5
232,1208,38,5
233,1209,38,5
234,121,38,5
235,1210,38,5
236,1211,38,5
237,1212,38,5
238,1213,38,5
239,1214,38,5
240,1215,38,5
241,1216,38,5
242,1217,38,5
243,1219,38,5
244,122,38,5
245,1220,38,5
246,1221,38,5
247,1222,38,5
248,1223,38,5
249,1224,38,5
250,1225,38,5
251,1226,38,5
252,1227,38,5
253,1229,38,5
254,123,38,5
255,1230,38,5
256,1232,38,5
257,1233,38,5
258,1234,38,5
259,1235,38,5
260,1236,38,5
261,1237,38,5
262,1238,38,5
263,1239,38,5
264,124,38,5
265,1240.1,38,5
266,1240.2,38,5
267,1241,38,5
268,1242,38,5
269,1243,38,5
270,1244,38,5
271,1245,38,5
272,1246.1,38,5
273,1246.2,38,5
274,1247,38,5
275,1248,38,5
276,1249,38,5
277,1250,38,5
278,1253,38,5
279,1254,38,5
280,1255,38,5
281,1256,38,5
282,1257,38,5
283,1258,38,5
284,1259,38,5
285,126,38,5
286,1260,38,5
287,1261,38,5
288,1262,38,5
289,1263,38,5
290,1264,38,5
291,1265,38,5
292,1266,38,5
293,1267,38,5
294,1268,38,5
295,1269,38,5
296,127,38,5
297,1270,38,5
298,1271,38,5
299,1272,38,5
300,1273,38,5
301,1274.1.1,38,5
302,1274.1.2,38,5
303,1274.2,38,5
304,1275,38,5
305,1276.1,38,5
306,1276.2,38,5
307,1277,38,5
308,1278,38,5
309,1279,38,5
310,128,38,5
311,1280,38,5
312,1281,38,5
313,1282,38,5
314,1283,38,5
315,1284,38,5
316,1285,38,5
317,1286,38,5
318,1287,38,5
319,1288,38,5
320,1289,38,5
321,129,38,5
322,1290,38,5
323,1291,38,5
324,1292,38,5
325,1293,38,5
326,1295,38,5
327,1296,38,5
328,1297,38,5
329,1298.1,38,5
330,1298.2,38,5
331,1299,38,5
332,13,38,5
333,130,38,5
334,1300.1,38,5
335,1300.2,38,5
336,1301.1,38,5
337,1301.2,38,5
338,1302,38,5
339,1303.1,38,5
340,1303.2,38,5
341,1304,38,5
342,1305.1,38,5
343,1305.2,38,5
344,1306,38,5
345,1307.1,38,5
346,1307.2,38,5
347,1307.3,38,5
348,1308,38,5
349,1309.1.1,38,5
350,1309.1.2,38,5
351,1309.2,38,5
352,131,18,3
353,1310,18,3
354,1311,18,3
355,1312,18,3
356,1313,18,3
357,1314,18,3
358,1315,18,3
359,1316,18,3
360,1317,18,3
361,1318,18,3
362,1319,18,3
363,132,18,3
364,1320,18,3
365,1321,18,3
366,1322,18,3
367,1323,18,3
368,1324,18,3
369,1325,18,3
370,1326,18,3
371,1327,18,3
372,1328,18,3
373,1329,18,3
374,1330,18,3
375,1331.1,18,3
376,1331.2,18,3
377,1332.1,18,3
378,1332.2,18,3
379,1333,18,3
380,1334,18,3
381,1335,18,3
382,1336,18,3
383,1337,18,3
384,1338,18,3
385,1339,18,3
386,134,18,3
387,1340.1,18,3
388,1340.2,18,3
389,1341,18,3
390,1342,18,3
391,1343,18,3
392,1344,18,3
393,1345,18,3
394,1346,18,3
395,1347,18,3
396,1348.1,18,3
397,1348.2,18,3
398,1349,18,3
399,135,18,3
400,1350,18,3
401,1351,18,3
402,1352,18,3
403,1353,18,3
404,1354,18,3
405,1355,18,3
406,1356,18,3
407,1357,18,3
408,1358,18,3
409,1359,18,3
410,136,18,3
411,1360.1,18,3
412,1360.2,18,3
413,1361,18,3
414,1362,18,3
415,1363,18,3
416,1364,18,3
417,1365,18,3
418,1366,18,3
419,1367.1,18,3
420,1367.2,18,3
421,1368,18,3
422,1369,18,3
423,137,18,3
424,1370,18,3
425,1371,18,3
426,1373,18,3
427,1374,18,3
428,1375,18,3
429,1376,18,3
430,1377,18,3
431,1378,18,3
432,1379,18,3
433,1380,18,3
434,1382,18,3
435,1383,18,3
436,1384,18,3
437,1385,18,3
438,1386,18,3
439,1387,18,3
440,1388,18,3
441,1389,18,3
442,1390,18,3
443,1391,18,3
444,1392,18,3
445,1393.1,18,3
446,1393.2,18,3
447,1393.3,18,3
448,1394.1,18,3
449,1394.2,18,3
450,1395,18,3
451,1396,18,3
452,1397,18,3
453,1398,18,3
454,1399,18,3
455,14,18,3
456,140,18,3
457,1400,18,3
458,1401,18,3
459,1402,18,3
460,1403,18,3
461,1404,18,3
462,1405,18,3
463,1406,18,3
464,1407,18,3
465,1408.1,18,3
466,1408.2,18,3
467,141,18,3
468,1410,18,3
469,1411.1,18,3
470,1411.2,18,3
471,1413,18,3
472,1414.1,18,3
473,1414.2,18,3
474,1414.3,18,3
475,1415,18,3
476,1416,18,3
477,1417.1,13,2
478,1417.2,13,2
479,1418,13,2
480,1419,13,2
481,142.1,13,2
482,142.2,13,2
483,1420,13,2
484,1421,13,2
485,1422,13,2
486,1423.1,13,2
487,1423.2,13,2
488,1424,13,2
489,1425,13,2
490,1426,13,2
491,1427.1,13,2
492,1427.2,13,2
493,1428.1,13,2
494,1428.2,13,2
495,1429,13,2
496,143,13,2
497,1430,13,2
498,1431,13,2
499,1432,13,2
500,1433,13,2
501,1434,13,2
502,1435,13,2
503,1436,13,2
504,1437,13,2
505,1438,13,2
506,1439,13,2
507,144,13,2
508,1440,13,2
509,1441,13,2
510,1442,13,2
511,1443,13,2
512,1444,13,2
513,1445,13,2
514,1446,13,2
515,1447,13,2
516,1448,13,2
517,1449,13,2
518,145,13,2
519,1450.1,13,2
520,1450.2,13,2
521,1451,13,2
522,1452,13,2
523,1453.1,13,2
524,1453.2,13,2
525,1454,13,2
526,1455.1,13,2
527,1455.2,13,2
528,1455.3,13,2
529,1456,13,2
530,1457,13,2
531,1458,13,2
532,1459,13,2
533,146,13,2
534,1460,13,2
535,1462,13,2
536,1463,13,2
537,1464,13,2
538,1465,13,2
539,1466,13,2
540,1467.1,13,2
541,1467.2,13,2
542,1468,13,2
543,1469,13,2
544,147,13,2
545,1470,13,2
546,1471,13,2
547,1472,13,2
548,1473,13,2
549,1474,13,2
550,1475,13,2
551,1476,13,2
552,1477,13,2
553,1478,13,2
554,1479,13,2
555,148.1,13,2
556,148.2,13,2
557,148.3,13,2
558,1480,13,2
559,1481,13,2
560,1482,13,2
561,1483,13,2
562,1485,13,2
563,1486,13,2
564,1487,13,2
565,1488,13,2
566,1489,13,2
567,149,13,2
568,1490,13,2
569,1491,13,2
570,1492,13,2
571,1493,13,2
572,1494,13,2
573,1495.1,13,2
574,1495.2,13,2
575,1495.3,13,2
576,1496,13,2
577,1497,13,2
578,1498,13,2
579,1499,13,2
580,15,13,2
581,150,36,5
582,1500,36,5
583,1502,36,5
584,1505,36,5
585,1506,36,5
586,1507,36,5
587,151,36,5
588,1510,36,5
589,1511,36,5
590,1514,36,5
591,1515,36,5
592,1516,36,5
593,1519.1,36,5
594,1519.2,36,5
595,152,36,5
596,1520,36,5
597,1521.1,36,5
598,1521.2,36,5
599,1522.1,36,5
600,1522.2,36,5
601,1523,36,5
602,1524,36,5
603,1525.1,36,5
604,1525.2,36,5
605,1526,36,5
606,1527,36,5
607,1528,36,5
608,1529,36,5
609,153,36,5
610,1530,36,5
611,1531,36,5
612,1532,36,5
613,1533,36,5
614,1534,36,5
615,1535,36,5
616,1536,36,5
617,1537,36,5
618,1538,36,5
619,154,36,5
620,1540,36,5
621,1541,36,5
622,1542,36,5
623,1543,36,5
624,1546,36,5
625,1547,36,5
626,1548,36,5
627,1549.1,36,5
628,1549.2,36,5
629,155,36,5
630,1550,36,5
631,1551,36,5
632,1552,36,5
633,1553,36,5
634,1556,36,5
635,1557,36,5
636,1558,36,5
637,1559,36,5
638,1560,36,5
639,1561,36,5
640,1563,36,5
641,1564,36,5
642,1565,36,5
643,1566,36,5
644,1568,36,5
645,157,36,5
646,1570,36,5
647,1571,36,5
648,1573,36,5
649,1574,36,5
650,1575,36,5
651,1576,36,5
652,1577.1,36,5
653,1577.2,36,5
654,1578,36,5
655,1579,36,5
656,1580,36,5
657,1581,36,5
658,1582,36,5
659,1583,36,5
660,1584,36,5
661,1585,36,5
662,1586.1,36,5
663,1586.2,36,5
664,1587,36,5
665,1588,36,5
666,1589,36,5
667,1590,36,5
668,1591,36,5
669,1592,36,5
670,1595,36,5
671,1596,36,5
672,1597,36,5
673,1598,36,5
674,1599,36,5
675,16.1,36,5
676,16.2,36,5
677,160,36,5
678,1600.1,36,5
679,1600.2.1,36,5
680,1600.2.2,36,5
681,1601,36,5
682,1602,36,5
683,1603,36,5
684,1604,36,5
685,1605,36,5
686,1606,36,5
687,1607,36,5
688,1608,36,5
689,1609,36,5
690,161,36,5
691,1610,36,5
692,1611,36,5
693,1612,36,5
694,1613,36,5
695,1614,36,5
696,1615,36,5
697,1616,36,5
698,1617,36,5
699,1618,36,5
700,1619,36,5
701,162,36,5
702,1620,36,5
703,1621,36,5
704,1622,36,5
705,1623,36,5
706,1624,36,5
707,1625.1,36,5
708,1625.2,36,5
709,1625.3,36,5
710,1626,36,5
711,1627,36,5
712,1628,36,5
713,1629,32,4
714,163,32,4
715,1630,32,4
716,1631,32,4
717,1632,32,4
718,1633,32,4
719,1634,32,4
720,1635,32,4
721,1636,32,4
722,1637,32,4
723,1638.1,32,4
724,1638.2,32,4
725,1639,32,4
726,164,32,4
727,1640.1,32,4
728,1640.2,32,4
729,1641,32,4
730,1642,32,4
731,1643,32,4
732,1644.1,32,4
733,1644.2,32,4
734,1645,32,4
735,1646,32,4
736,1648,32,4
737,1649,32,4
738,165,32,4
739,1650,32,4
740,1651,32,4
741,1652,32,4
742,1653,32,4
743,1654,32,4
744,1655,32,4
745,1656,32,4
746,1657.1,32,4
747,1657.2,32,4
748,1658,32,4
749,1659,32,4
750,166,32,4
751,1660,32,4
752,1661,32,4
753,1662,32,4
754,1663,32,4
755,1664,32,4
756,1665,32,4
757,1666,32,4
758,1668.1,32,4
759,1668.2,32,4
760,1669,32,4
761,167,32,4
762,1670,32,4
763,1671,32,4
764,1672,32,4
765,1673,32,4
766,1674,32,4
767,1675,32,4
768,1676,32,4
769,1677,32,4
770,1678,32,4
771,1679.2,32,4
772,168,32,4
773,1680,32,4
774,1681,32,4
775,1682,32,4
776,1683,32,4
777,1684,32,4
778,1685,32,4
779,1686,32,4
780,1687,32,4
781,1688,32,4
782,1689,32,4
783,169,32,4
784,1691,32,4
785,1693,32,4
786,1694,32,4
787,1695,32,4
788,1696,32,4
789,1697,32,4
790,1698,32,4
791,1699,32,4
792,17,32,4
793,170,32,4
794,1700,32,4
795,1701,32,4
796,1702,32,4
797,1703,32,4
798,1704,32,4
799,1705,32,4
800,1706,32,4
801,1707,32,4
802,1708.1,32,4
803,1708.2,32,4
804,1709,32,4
805,171,32,4
806,1710,32,4
807,1711,32,4
808,1712,32,4
809,1713,32,4
810,1714,32,4
811,1715,32,4
812,1716,32,4
813,1717,32,4
814,1718,32,4
815,1719,32,4
816,172,32,4
817,1720,32,4
818,1721,32,4
819,1722,32,4
820,1723,32,4
821,1724.1,32,4
822,1724.2,32,4
823,1724.3,32,4
824,1725,32,4
825,1726,32,4
826,1727,32,4
827,1728,32,4
828,1729.1,32,4
829,1729.2,32,4
830,173,32,4
831,1730,32,4
832,1731,32,4
833,1732,32,4
834,1733,32,4
835,1735,32,4
836,1736,32,4
837,1737,32,4
838,1738,32,4
839,1739.1,32,4
840,1739.2,32,4
841,174,32,4
842,1740,32,4
843,1741,32,4
844,1742,32,4
845,1743.1,32,4
846,1743.2,32,4
847,1745,32,4
848,1746,32,4
849,1749.1,32,4
850,1749.2,32,4
851,175,32,4
852,1750,32,4
853,1751,32,4
854,1752,32,4
855,1753,32,4
856,1754,32,4
857,1755,32,4
858,1756,32,4
859,1757,32,4
860,1759,32,4
861,176,32,4
862,1760,32,4
863,1761,32,4
864,1762,32,4
865,1763,32,4
866,1764,32,4
867,1765,32,4
868,1766,32,4
869,1767,32,4
870,1769,32,4
871,177,32,4
872,1770,32,4
873,1771,32,4
874,1772,32,4
875,1773,32,4
876,1774,32,4
877,1775.1.1,32,4
878,1775.1.2,32,4
879,1775.2,32,4
880,1775.3,32,4
881,1776,32,4
882,1777,32,4
883,1778,32,4
884,1779,32,4
885,178,32,4
886,1780,33,4
887,1781,33,4
888,1782,33,4
889,1783,33,4
890,1784,33,4
891,1786,33,4
892,1787,33,4
893,1788,33,4
894,1789,33,4
895,179,33,4
896,1790,33,4
897,1791.1,33,4
898,1791.2,33,4
899,1791.3,33,4
900,1793,33,4
901,1795,33,4
902,1796,33,4
903,1797.1,33,4
904,1797.2,33,4
905,1798,33,4
906,1799,33,4
907,18.1,33,4
908,18.2,33,4
909,180,33,4
910,1800,33,4
911,1801,33,4
912,1802,33,4
913,1803.1,33,4
914,1803.2,33,4
915,1804,33,4
916,1805,33,4
917,1806,33,4
918,1807,33,4
919,1808.1,33,4
920,1808.2,33,4
921,1809,33,4
922,1810,33,4
923,1811.1,33,4
924,1811.2,33,4
925,1812,33,4
926,1813,33,4
927,1814,33,4
928,1815,21,4
929,1816,21,4
930,1817,21,4
931,1818,21,4
932,1819,21,4
933,182,21,4
934,1820,21,4
935,1821,21,4
936,1822,21,4
937,1823,21,4
938,1824,21,4
939,1825,21,4
940,1826,21,4
941,1827,21,4
942,1828,21,4
943,1829,21,4
944,183,21,4
945,1830,21,4
946,1832.1,21,4
947,1832.2,21,4
948,1833,21,4
949,1834,21,4
950,1835,21,4
951,1836,21,4
952,1837,21,4
953,1838,21,4
954,1839,21,4
955,184,21,4
956,1840,21,4
957,1841,21,4
958,1842,21,4
959,1843.1.1,21,4
960,1843.1.2,21,4
961,1843.2,21,4
962,1844,21,4
963,1845,21,4
964,1846,21,4
965,1847,21,4
966,1848,21,4
967,1849,21,4
968,185,21,4
969,1850,21,4
970,1851,21,4
971,1853,21,4
972,1854,21,4
973,1855,21,4
974,1856.1,21,4
975,1856.2,21,4
976,1857,21,4
977,1858,21,4
978,1859,21,4
979,186,21,4
980,1860,21,4
981,1861.1,21,4
982,1861.2,21,4
983,1862,21,4
984,1863,21,4
985,1864,21,4
986,1865.1,21,4
987,1865.2,21,4
988,1866,21,4
989,1867,21,4
990,1868,21,4
991,1869,21,4
992,187,21,4
993,1870,21,4
994,1871,21,4
995,1872,21,4
996,1873,21,4
997,1874,21,4
998,1875,21,4
999,1876.1,21,4
1000,1876.2,21,4
1001,1877,21,4
1002,1878,21,4
1003,1879.1,21,4
1004,1879.2,21,4
1005,188,21,4
1006,1880,21,4
1007,1881,21,4
1008,1882,21,4
1009,1883,21,4
1010,1884,21,4
1011,1885,21,4
1012,1886,21,4
1013,1887,21,4
1014,1888,21,4
1015,1889,21,4
1016,189,21,4
1017,1891,21,4
1018,1892,21,4
1019,1893,21,4
1020,1894,21,4
1021,1895,21,4
1022,1896,21,4
1023,1897,21,4
1024,1898,21,4
1025,1899,21,4
1026,19,21,4
1027,190,21,4
1028,1900,21,4
1029,1901,21,4
1030,1902,21,4
1031,1903,21,4
1032,1905,21,4
1033,1906,21,4
1034,1907,21,4
1035,1908,21,4
1036,1909,21,4
1037,191.1,21,4
1038,191.2,21,4
1039,1910,21,4
1040,1914,21,4
1041,1915,21,4
1042,1916,21,4
1043,1917,21,4
1044,1919,21,4
1045,192,21,4
1046,1920,21,4
1047,1921,21,4
1048,1922,21,4
1049,1923,21,4
1050,1924,21,4
1051,1926,21,4
1052,1927,21,4
1053,1928,21,4
1054,1929,21,4
1055,193,21,4
1056,1930,21,4
1057,1931,21,4
1058,1932,21,4
1059,1933,21,4
1060,1934,21,4
1061,1935,21,4
1062,1936,21,4
1063,1937,21,4
1064,1938,21,4
1065,1939,21,4
1066,194,21,4
1067,1940.1,21,4
1068,1940.2,21,4
1069,1941,21,4
1070,1942,21,4
1071,1943,21,4
1072,1944,21,4
1073,1945,21,4
1074,1946,21,4
1075,1947,21,4
1076,1948,21,4
1077,1949,21,4
1078,195.1,21,4
1079,195.2,21,4
1080,1950,21,4
1081,1951,21,4
1082,1952,21,4
1083,1953,21,4
1084,1954,21,4
1085,1955,21,4
1086,1957,21,4
1087,1958,21,4
1088,1959,21,4
1089,196,21,4
1090,1960,21,4
1091,1961,21,4
1092,1962,21,4
1093,1963.1,21,4
1094,1963.2,21,4
1095,1964,21,4
1096,1965,21,4
1097,1966,21,4
1098,1967,21,4
1099,1968,21,4
1100,1969,21,4
1101,197,21,4
1102,1970,21,4
1103,1971,21,4
1104,1973,21,4
1105,1976,21,4
1106,1977,21,4
1107,1978,21,4
1108,1979,21,4
1109,198,21,4
1110,1980,21,4
1111,1982,21,4
1112,1983,21,4
1113,1984,21,4
1114,1985,21,4
1115,1986,21,4
1116,1988,21,4
1117,1989,21,4
1118,199,21,4
1119,1992.1,21,4
1120,1992.2,21,4
1121,1993,21,4
1122,1995,37,1
1123,1996,37,1
1124,1997,37,1
1125,1998,37,1
1126,2,37,1
1127,2000,37,1
1128,2001,37,1
1129,2002,37,1
1130,2003,37,1
1131,2004.1,37,1
1132,2004.2,37,1
1133,2005,37,1
1134,2006,37,1
1135,2007,37,1
1136,2009,37,1
1137,201,37,1
1138,2010,37,1
1139,2011,37,1
1140,2012,37,1
1141,2013,37,1
1142,2014,37,1
1143,2015,37,1
1144,2016,37,1
1145,2017,37,1
1146,2018,37,1
1147,2019,37,1
1148,202,37,1
1149,2020,37,1
1150,2021,37,1
1151,2022,37,1
1152,2023,37,1
1153,2024,37,1
1154,2025,37,1
1155,2026,37,1
1156,2027,37,1
1157,2028,37,1
1158,2029,37,1
1159,203,37,1
1160,2030,37,1
1161,2031,37,1
1162,2032,37,1
1163,2033,37,1
1164,2034,37,1
1165,2035,37,1
1166,2038,37,1
1167,2039,37,1
1168,204,37,1
1169,2040,37,1
1170,2041,37,1
1171,2042,37,1
1172,2043,37,1
1173,2044,37,1
1174,2045,37,1
1175,2047,37,1
1176,2048,37,1
1177,2049,37,1
1178,205,37,1
1179,2050,37,1
1180,2051,37,1
1181,2052,37,1
1182,2053,37,1
1183,2054,37,1
1184,2055,37,1
1185,2056,37,1
1186,2057,37,1
1187,2058,37,1
1188,2059,37,1
1189,206,37,1
1190,2060,37,1
1191,2061,37,1
1192,2062,37,1
1193,2063,37,1
1194,2064,37,1
1195,2066,37,1
1196,2067,37,1
1197,2068,37,1
1198,207,37,1
1199,2070,37,1
1200,2071,37,1
1201,2072,27,1
1202,2073,27,1
1203,2074,27,1
1204,2075,27,1
1205,2076,27,1
1206,2077,27,1
1207,2078,27,1
1208,208,27,1
1209,2080,27,1
1210,2081.1,27,1
1211,2081.2,27,1
1212,2082,27,1
1213,2083,27,1
1214,2085.1,27,1
1215,2085.2,27,1
1216,2086,27,1
1217,2087,27,1
1218,2088,27,1
1219,2089,27,1
1220,209.1,27,1
1221,209.2,27,1
1222,2090.1,27,1
1223,2090.2,27,1
1224,2091,27,1
1225,2092,27,1
1226,2093,27,1
1227,2094,27,1
1228,2095.1,27,1
1229,2095.2,27,1
1230,2096,27,1
1231,2097.1,27,1
1232,2097.2,27,1
1233,2098,27,1
1234,2099,27,1
1235,21,27,1
1236,210.1,27,1
1237,210.2,27,1
1238,2100,27,1
1239,2101,27,1
1240,2102,27,1
1241,2103,27,1
1242,2104,27,1
1243,2105,27,1
1244,2106,27,1
1245,2107,27,1
1246,2108,27,1
1247,2109,27,1
1248,2110,27,1
1249,2111,27,1
1250,2113.1,27,1
1251,2113.2,27,1
1252,2114,27,1
1253,2115,27,1
1254,2116,27,1
1255,2117,27,1
1256,2118,27,1
1257,2119,27,1
1258,212.1,27,1
1259,212.2,10,2
1260,2120,10,2
1261,2121,10,2
1262,2122,10,2
1263,2123.1,10,2
1264,2123.2,10,2
1265,2124,10,2
1266,2126,10,2
1267,2127,10,2
1268,2128.1,10,2
1269,2128.2,10,2
1270,2129,10,2
1271,2130,10,2
1272,2131,10,2
1273,2132,10,2
1274,2133,10,2
1275,2134,10,2
1276,2135,10,2
1277,2136,10,2
1278,2137,10,2
1279,2138,10,2
1280,2139,10,2
1281,214,10,2
1282,2140.1,10,2
1283,2140.2,10,2
1284,2141,10,2
1285,2142,10,2
1286,2143,10,2
1287,2144,10,2
1288,2145,10,2
1289,2146,10,2
1290,2147,10,2
1291,2148,10,2
1292,2149,10,2
1293,215.2,10,2
1294,2150,10,2
1295,2151,10,2
1296,2152,10,2
1297,2153,10,2
1298,2154,10,2
1299,2155,10,2
1300,2157,10,2
1301,2158,10,2
1302,2159,10,2
1303,216,10,2
1304,2160,10,2
1305,2161,10,2
1306,2162,10,2
1307,2163,10,2
1308,2164,10,2
1309,2165,10,2
1310,2166,10,2
1311,2169,10,2
1312,2170,10,2
1313,2171,10,2
1314,2172,10,2
1315,2174.1,10,2
1316,2174.2,10,2
1317,2175,10,2
1318,2176.1.1,10,2
1319,2176.1.2,10,2
1320,2176.2,10,2
1321,2177,10,2
1322,2178.1,10,2
1323,2178.3,10,2
1324,2179,10,2
1325,218,10,2
1326,2180,10,2
1327,2181,10,2
1328,2182,10,2
1329,2183,10,2
1330,2184,10,2
1331,2185,10,2
1332,2186,10,2
1333,2187,10,2
1334,2188,10,2
1335,219,10,2
1336,2191,10,2
1337,2192,10,2
1338,2193,10,2
1339,2194,10,2
1340,2195,10,2
1341,2196,10,2
1342,2197,10,2
1343,2198,10,2
1344,22,10,2
1345,220,10,2
1346,2200,10,2
1347,2201,10,2
1348,2202,10,2
1349,2203,10,2
1350,2204,10,2
1351,2205,10,2
1352,2206,10,2
1353,2207,10,2
1354,2208,10,2
1355,2209,10,2
1356,221,10,2
1357,2210,10,2
1358,2211,10,2
1359,2212,10,2
1360,2213,10,2
1361,2214,10,2
1362,2215,10,2
1363,2216,10,2
1364,2217,10,2
1365,2218,10,2
1366,2219,10,2
1367,222.1,10,2
1368,222.2,10,2
1369,2220.1,10,2
1370,2220.2,10,2
1371,2221,10,2
1372,2222,25,3
1373,2223,25,3
1374,2224,25,3
1375,2225,25,3
1376,2226,25,3
1377,2227.1,25,3
1378,2227.2,25,3
1379,2227.3,25,3
1380,2228,25,3
1381,223,25,3
1382,2230,25,3
1383,2231.1,25,3
1384,2231.2,25,3
1385,2232,25,3
1386,2233,25,3
1387,2234,25,3
1388,2235.1,25,3
1389,2235.2,25,3
1390,2236,25,3
1391,2237,25,3
1392,2239,25,3
1393,224,25,3
1394,2240,25,3
1395,2241,25,3
1396,2242,25,3
1397,2243,25,3
1398,2244,25,3
1399,2245,25,3
1400,2247,25,3
1401,2248,25,3
1402,2249,25,3
1403,225,25,3
1404,2250,25,3
1405,2251,25,3
1406,2252,25,3
1407,2253,25,3
1408,2254,25,3
1409,2255,25,3
1410,2256,25,3
1411,2258,25,3
1412,226,25,3
1413,2260.1,25,3
1414,2260.2,25,3
1415,2261,25,3
1416,2263,25,3
1417,2264,25,3
1418,2265,25,3
1419,2266,25,3
1420,2267,25,3
1421,2268.1,25,3
1422,2268.2,25,3
1423,2269,25,3
1424,227,25,3
1425,2271,25,3
1426,2272,25,3
1427,2273,25,3
1428,2274,25,3
1429,2275,25,3
1430,2276,25,3
1431,2277,25,3
1432,2278,25,3
1433,2279,25,3
1434,228,25,3
1435,2280,25,3
1436,2282,25,3
1437,2283,25,3
1438,2284,25,3
1439,2285,25,3
1440,2286,25,3
1441,2287.1,25,3
1442,2287.2,25,3
1443,2288,25,3
1444,2289,25,3
1445,229,25,3
1446,2290,25,3
1447,2291,25,3
1448,2292,25,3
1449,2293,25,3
1450,2294,25,3
1451,2295,25,3
1452,2296,25,3
1453,2297.1,25,3
1454,2297.2,25,3
